source,target,score
"apricots, dried",pumpkin seeds,1
"apricots, dried",raisins,1
"apricots, dried",rice pudding,1
"apricots, dried",sugar,1
"apricots, dried",tamarind paste,1
"apricots, dried",vanilla,1
aroma,chocolate,1
aroma,cinnamon,1
aroma,herbs,1
aroma,pineapple,1
aroma,sous-vide cooking,1
aroma,spices,1
aroma,star anise,1
aroma,truffles,1
aroma,vanilla,1
artichokes,"steam, stew",1
artichokes,aioli,1
artichokes,anchovies,2
artichokes,arugula,1
artichokes,bacon,1
artichokes,basil,1
artichokes,bay leaf,2
artichokes,"beans, fava",1
artichokes,beets,1
artichokes,bread crumbs,2
artichokes,butter,2
artichokes,capers,1
artichokes,carrots,1
artichokes,dishes,2
artichokes,cashews,1
artichokes,celery,1
artichokes,cheese emmental,2
artichokes,cheese goat,2
artichokes,cheese gruyère,2
artichokes,cheese parmesan,2
artichokes,chervil,1
artichokes,chicken,1
artichokes,chives,1
artichokes,coriander,1
artichokes,cream,1
artichokes,crème fraîche,1
artichokes,eggs yolk,1
artichokes,eggs hard-boiled,1
artichokes,french cuisine,1
artichokes,garlic,3
artichokes,grapefruit,1
artichokes,hazelnuts,1
artichokes,hollandaise sauce,1
artichokes,italian cuisine,1
artichokes,leeks,1
artichokes,lemon confit,3
artichokes,lemon juice,3
artichokes,lemon zest,3
artichokes,lobster,1
artichokes,mayonnaise,2
artichokes,mediterranean cuisine,1
artichokes,mint,3
artichokes,moroccan cuisine,1
artichokes,mushrooms,1
artichokes,"mustard, dijon",1
artichokes,nuts cashews,1
artichokes,nuts hazelnuts,1
artichokes,nuts walnuts,1
artichokes,oil hazelnut,1
artichokes,oil peanut,1
artichokes,olive oil,3
artichokes,olives black,1
artichokes,olives niçoise,1
artichokes,orange,1
artichokes,pancetta,1
artichokes,"parsley, flat-leaf",3
artichokes,pepper black,3
artichokes,pepper white,3
artichokes,pesto,1
artichokes,piquillo peppers,1
artichokes,potatoes,1
artichokes,prosciutto,1
artichokes,radicchio,1
artichokes,red pepper flakes,1
artichokes,rice,1
artichokes,risotto,1
artichokes,rosemary,1
artichokes,saffron,1
artichokes,sage,1
artichokes,salads,1
artichokes,"salt, kosher",3
artichokes,savory,1
artichokes,shallots,1
artichokes,"sherry, dry",1
artichokes,shrimp,1
artichokes,soy sauce,1
artichokes,spanish cuisine,1
artichokes,spinach,1
artichokes,"stock, chicken",1
artichokes,sugar (pinch),1
artichokes,tapenade,1
artichokes,"tarragon, fresh",1
artichokes,"thyme, fresh",3
artichokes,tomatoes,3
artichokes,"truffles, black",1
artichokes,tuna,1
artichokes,vinaigrette,1
artichokes,vinegar balsamic,1
artichokes,vinegar rice,1
artichokes,vinegar sherry,1
artichokes,vinegar white wine,1
artichokes,walnuts,1
artichokes,"wine, dry white",3
artichokes,yogurt,1
"artichokes, jerusalem",anise,1
"artichokes, jerusalem",bacon,1
"artichokes, jerusalem",bay leaf,1
"artichokes, jerusalem",butter,2
"artichokes, jerusalem",celery,1
"artichokes, jerusalem","cheese, goat",1
"artichokes, jerusalem",chervil,1
"artichokes, jerusalem",chives,1
"artichokes, jerusalem",coriander,1
"artichokes, jerusalem",cream,2
"artichokes, jerusalem",cumin,1
"artichokes, jerusalem",dill,1
"artichokes, jerusalem",fennel leaves,1
"artichokes, jerusalem",fennel seeds,1
"artichokes, jerusalem",garlic,2
"artichokes, jerusalem",ginger,1
"artichokes, jerusalem",hazelnuts,1
"artichokes, jerusalem",leeks,1
"artichokes, jerusalem","lemon, juice",2
"artichokes, jerusalem",mace,1
"artichokes, jerusalem",morels,1
"artichokes, jerusalem",nutmeg,2
"artichokes, jerusalem",oil nut,2
"artichokes, jerusalem",oil sunflower seed,2
"artichokes, jerusalem",olive oil,2
"artichokes, jerusalem",onions,1
"artichokes, jerusalem","parsley, flat-leaf",2
"artichokes, jerusalem","pepper, black",2
"artichokes, jerusalem",potatoes,1
"artichokes, jerusalem",rosemary,1
"artichokes, jerusalem",sage,1
"artichokes, jerusalem",salmon,1
"artichokes, jerusalem","salt, sea",2
"artichokes, jerusalem",dishes,2
"artichokes, jerusalem",(chicago),1
"artichokes, jerusalem",shallots,1
"artichokes, jerusalem","stock, chicken",1
"artichokes, jerusalem",tarragon,1
"artichokes, jerusalem",thyme,1
"artichokes, jerusalem",vinegar,1
"artichokes, jerusalem","wine, dry white",1
asparagus,almonds,1
asparagus,anchovies,1
asparagus,artichokes,1
asparagus,basil,1
asparagus,bay leaf,1
asparagus,beets,1
asparagus,bread crumbs,1
asparagus,"butter, brown",1
asparagus,"butter, unsalted",3
asparagus,capers,1
asparagus,caraway seeds,1
asparagus,carrots,1
asparagus,cayenne,1
asparagus,"ricotta, romano",2
asparagus,chervil,2
asparagus,chives,1
asparagus,crab,1
asparagus,"cream, heavy",2
asparagus,crème fraîche,1
asparagus,dill,2
asparagus,fava beans,1
asparagus,french cuisine,1
asparagus,garlic,2
asparagus,ginger,1
asparagus,ham,1
asparagus,hollandaise sauce,2
asparagus,italian cuisine,1
asparagus,leeks,2
asparagus,lemon juice,3
asparagus,lemon zest,3
asparagus,lemon thyme,1
asparagus,"lime, juice",1
asparagus,lobster,1
asparagus,marsala wine,1
asparagus,mascarpone,1
asparagus,mayonnaise,1
asparagus,"mustard, dijon",2
asparagus,oil hazelnut,1
asparagus,oil peanut,1
asparagus,oil sesame,1
asparagus,oil truffle,1
asparagus,olive oil,3
asparagus,orange,1
asparagus,oysters,1
asparagus,pancetta,1
asparagus,"parsley, flat-leaf",2
asparagus,pasta,1
asparagus,peas,1
asparagus,pepper black,3
asparagus,pepper white,3
asparagus,"peppers, piquillo",1
asparagus,dishes,2
asparagus,city),1
asparagus,(new york city),1
asparagus,pistachios,1
asparagus,potatoes,1
asparagus,prosciutto,1
asparagus,ramps,1
asparagus,rice and risotto,1
asparagus,saffron,1
asparagus,sage,1
asparagus,salmon,1
asparagus,salt kosher,3
asparagus,salt sea,3
asparagus,sauce béchamel,1
asparagus,sauce brown butter,1
asparagus,sauce mornay,1
asparagus,savory,1
asparagus,scallions,1
asparagus,sesame seeds,1
asparagus,shallots,2
asparagus,shrimp,1
asparagus,soups,1
asparagus,sour cream,1
asparagus,soy sauce,1
asparagus,spinach,1
asparagus,stocks chicken,2
asparagus,stocks vegetable,2
asparagus,tarragon,2
asparagus,"thyme, fresh",1
asparagus,tomatoes,1
asparagus,turnips,1
asparagus,vermouth,1
asparagus,vinaigrette mustard,2
asparagus,vinaigrette sherry,2
asparagus,yogurt,1
"asparagus, white",techniques blanch,2
"asparagus, white",techniques boil,2
"asparagus, white",techniques sauté,2
"asparagus, white",techniques steam,2
"asparagus, white",butter,1
"asparagus, white","cheese, parmesan",1
"asparagus, white",chicken,1
"asparagus, white",crab,1
"asparagus, white",eggs whole,1
"asparagus, white",eggs yolks,1
"asparagus, white",ham,1
"asparagus, white",hazelnuts,1
"asparagus, white",lemon,1
"asparagus, white",mustard,1
"asparagus, white","oil, truffle",2
"asparagus, white",olive oil,1
"asparagus, white",parsley,1
"asparagus, white","pepper, black",1
"asparagus, white","salt, sea",1
"asparagus, white",sauces hollandaise,1
"asparagus, white",sauces mayonnaise,1
"asparagus, white",sauces romesco,1
"asparagus, white",shallots,1
"asparagus, white",shrimp,1
"asparagus, white","stock, chicken",1
"asparagus, white",sugar (pinch),1
"asparagus, white",tarragon,1
"asparagus, white",vinaigrette,1
"asparagus, white",vinegar champagne,1
"asparagus, white",vinegar white,1
"asparagus, white","wine, riesling",1
"asparagus, white",asparagus soup,2
"asparagus, white",make asparagus soup,1
australian cuisine,barbecued foods,1
australian cuisine,beef,1
australian cuisine,cheese,1
australian cuisine,fish,1
australian cuisine,"fruits, fresh",1
australian cuisine,lamb,1
australian cuisine,"nuts, macadamia",1
australian cuisine,seafood,1
australian cuisine,"vegetables, fresh",1
australian cuisine,wines,1
australian cuisine,yabbies,1
austrian cuisine,beer,1
austrian cuisine,cinnamon,1
austrian cuisine,coffee,2
austrian cuisine,cream,1
austrian cuisine,desserts,1
austrian cuisine,dumplings,1
austrian cuisine,goulash,1
austrian cuisine,marjoram,1
austrian cuisine,paprika,2
austrian cuisine,parsley,1
austrian cuisine,pastries,2
austrian cuisine,potatoes,1
austrian cuisine,schnitzel,1
austrian cuisine,stews,1
austrian cuisine,strudel,1
austrian cuisine,wine,1
autumn,weather typically cool,2
autumn,techniques braise,2
autumn,techniques glaze,2
autumn,techniques roast,2
autumn,almonds (peak october),1
autumn,apples (peak september–november),2
autumn,artichokes (peak september–october),1
autumn,basil (peak september),1
autumn,beans (peak september),1
autumn,bell peppers (peak september),2
autumn,broccoli,2
autumn,broccoli rabe (peak july–december),1
autumn,brussels sprouts (peak november–february),1
autumn,cantaloupe (peak june–september),1
autumn,caramel,1
autumn,cardoons (peak october),1
autumn,cauliflower,2
autumn,celery root (peak october–november),1
autumn,chard (peak june–december),1
autumn,chestnuts (peak october–november),1
autumn,chile peppers,1
