source,target_cleaned,score,key_ingredient,seasonality,ingredient,accompaniment,avoid,target_raw,
angelica,"ginger, fresh",2,,,,,,ginger fresh,
angelica,hazelnut,1,,,,,,hazelnuts,
angelica,ice cream,2,,,,,,cream and ice cream,
angelica,juniper,1,,,,,,juniper berries,
angelica,lavender,2,,,,,,lavender,
angelica,lemon balm,1,,,,,,lemon balm,
angelica,liqueur,1,,,,,,liqueurs,
angelica,mushroom,1,,,,,,mushrooms,
angelica,nutmeg,1,,,,,,nutmeg,
angelica,orange,2,,,,,,oranges,
angelica,"pepper, black",1,,,,,,"pepper, black",
angelica,plum,2,,,,,,plums,
angelica,rhubarb,4,,,,,,rhubarb,
angelica,salad,1,,,,,,salads,
angelica,shellfish,1,,,,,,shellfish,
angelica,strawberry,2,,,,,,strawberries,
anise hyssop,apricot,1,,,,,,apricots,
anise hyssop,basil,1,,,,,,basil,
anise hyssop,"beans, green",1,,,,,,"beans, green",
anise hyssop,beets,1,,,,,,beets,
anise hyssop,berry,2,,,,,,"berries, esp. blueberries",
anise hyssop,beverage,2,,,,,,beverages,
anise hyssop,blueberry,3,,,,,,"berries, esp. blueberries",
anise hyssop,carrot,2,,,,,,carrots,
anise hyssop,cherry,1,,,,,,cherries,
anise hyssop,chervil,1,,,,,,chervil,
anise hyssop,chicken,1,,,,,,chicken,
anise hyssop,cream,1,,,,,,cream and ice cream,
anise hyssop,cream,1,,,,,,cream and ice cream,
anise hyssop,currant,1,,,,,,currants,
anise hyssop,custard,1,,,,,,custards,
anise hyssop,dessert,1,,,,,,desserts,
anise hyssop,"fennel, bulb",1,,,,,,fennel bulb,
anise hyssop,fish,1,,,,,,fish,
anise hyssop,fruit,3,,,,,,"fruits, esp. summer",
anise hyssop,"fruit, stone",1,,,,,,"stone fruits (e.g., peaches)",
anise hyssop,"fruit, summer",4,,,,,,"fruits, esp. summer",
anise hyssop,honey,2,,,,,,honey,
anise hyssop,ice cream,1,,,,,,cream and ice cream,
anise hyssop,lavender,1,,,,,,lavender,
anise hyssop,lemon,1,,,,,,lemon,
anise hyssop,lychee,1,,,,,,lychees,
anise hyssop,marjoram,1,,,,,,marjoram,
anise hyssop,melon,2,,,,,,melons,
anise hyssop,mint,1,,,,,,mint,
anise hyssop,nectarine,1,,,,,,nectarines,
anise hyssop,orange,1,,,,,,oranges,
anise hyssop,parsley,1,,,,,,parsley,
anise hyssop,parsnip,1,,,,,,parsnips,
anise hyssop,peach,2,,,,,,peaches,
anise hyssop,peach,1,,,,,,"stone fruits (e.g., peaches)",
anise hyssop,pear,1,,,,,,pears,
anise hyssop,plum,1,,,,,,plums,
anise hyssop,pork,1,,,,,,pork,
anise hyssop,raspberry,2,,,,,,raspberries,
anise hyssop,rice,1,,,,,,rice,
anise hyssop,"salad, fruit",2,,,,,,salads fruit,
anise hyssop,"salad, green",2,,,,,,salads green,
anise hyssop,shellfish,1,,,,,,"shellfish (e.g., shrimp)",
anise hyssop,shrimp,1,,,,,,shrimp,
anise hyssop,spinach,1,,,,,,spinach,
anise hyssop,"squash, winter",1,,,,,,"squash, winter",
anise hyssop,sweet potato,1,,,,,,sweet potatoes,
anise hyssop,tarragon,1,,,,,,tarragon,
anise hyssop,tea,2,,,,,,teas,
anise hyssop,tomato,1,,,,,,tomatoes,
anise hyssop,"vegetables, root",1,,,,,,"vegetables, root",
anise hyssop,watermelon,1,,,,,,watermelon,
anise hyssop,zucchini,1,,,,,,zucchini,
"anise, star",baked goods,1,,,,,,"baked goods (e.g., breads, pastries)",
"anise, star",beef,1,,,,,,beef,
"anise, star","beef, oxtails",1,,,,,,oxtails,
"anise, star",beverage,1,,,,,,beverages,
"anise, star",bread,1,,,,,,"baked goods (e.g., breads, pastries)",
"anise, star",cardamom,1,,,,,,cardamom,
"anise, star",chestnut,1,,,,,,chestnuts,
"anise, star",chicken,1,,,,,,chicken,
"anise, star",chile pepper,1,,,,,,chile peppers,
"anise, star",chili powder,1,,,,,,chili powder,
"anise, star",chinese cuisine,3,,,,,,chinese cuisine,
"anise, star",chocolate,2,,,,,,"chocolate, esp. milk",
"anise, star","chocolate, milk",3,,,,,,"chocolate, esp. milk",
"anise, star",cinnamon,2,,,,,,cinnamon,
"anise, star","citrus, zest",1,,,,,,citrus zest,
"anise, star",clove,1,,,,,,cloves,
"anise, star",coriander,1,,,,,,coriander,
"anise, star",cumin,1,,,,,,cumin,
"anise, star","curry, powder",1,,,1,,,curry powder (ingredient),
"anise, star",duck,2,,,,,,duck,
"anise, star",egg,1,,,,,,eggs,
"anise, star","fennel, seeds",1,,,,,,fennel seeds,
"anise, star",fig,1,,,,,,figs,
"anise, star",fish,2,,,,,,fish,
"anise, star",five-spice powder,3,,,,,,five-spice powder,
"anise, star",fruit,1,,,,,,"fruits, esp. tropical",
"anise, star","fruit, tropical",2,,,,,,"fruits, esp. tropical",
"anise, star",garlic,1,,,,,,garlic,
"anise, star",ginger,2,,,,,,ginger,
"anise, star",indian cuisine,1,,,,,,indian cuisine,
"anise, star",kumquat,1,,,,,,kumquats,
"anise, star",leek,1,,,,,,leeks,
"anise, star",lemongrass,1,,,,,,lemongrass,
"anise, star","lime, zest",1,,,,,,"lime, zest",
"anise, star",liqueur,1,,,,,,liqueurs,
"anise, star",mace,1,,,,,,mace,
"anise, star",malaysian cuisine,1,,,,,,malaysian cuisine,
"anise, star",mango,1,,,,,,mangoes,
"anise, star",maple syrup,1,,,,,,maple syrup,
"anise, star",meat,1,,,,,,"meats, esp. fatty",
"anise, star","meat, fatty",2,,,,,,"meats, esp. fatty",
"anise, star",nutmeg,1,,,,,,nutmeg,
"anise, star","orange, zest",1,,,,,,"orange, zest",
"anise, star",pastries,1,,,,,,"baked goods (e.g., breads, pastries)",
"anise, star",pear,2,,,,,,"pears, esp. poached",
"anise, star","pear, poached",3,,,,,,"pears, esp. poached",
